[2026-01-20T14:15:18.204+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-20T14:15:01.698713+00:00 [queued]>
[2026-01-20T14:15:18.216+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-20T14:15:01.698713+00:00 [queued]>
[2026-01-20T14:15:18.217+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-20T14:15:18.238+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-20 14:15:01.698713+00:00
[2026-01-20T14:15:18.243+0000] {standard_task_runner.py:60} INFO - Started process 15116 to run task
[2026-01-20T14:15:18.247+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'manual__2026-01-20T14:15:01.698713+00:00', '--job-id', '6', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpojt9_q18']
[2026-01-20T14:15:18.249+0000] {standard_task_runner.py:88} INFO - Job 6: Subtask transform_data
[2026-01-20T14:15:18.303+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data manual__2026-01-20T14:15:01.698713+00:00 [running]> on host 1088443c7c2b
[2026-01-20T14:15:18.395+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-20T14:15:01.698713+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-20T14:15:01.698713+00:00'
[2026-01-20T14:15:26.867+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-20T14:15:27.153+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-20T14:15:27.332+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-20T14:15:27.502+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-20T14:15:27.703+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-20T14:15:27.862+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-20T14:15:28.020+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-20T14:15:28.181+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-20T14:15:28.330+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-20T14:15:28.472+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-20T14:15:28.627+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-20T14:15:28.792+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-20T14:15:29.722+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-20T14:15:30.039+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-20T14:15:30.175+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-20T14:15:30.289+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-20T14:15:30.419+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-20T14:15:30.526+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-20T14:15:30.639+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-20T14:15:30.751+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-20T14:15:30.857+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-20T14:15:30.963+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-20T14:15:31.069+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-20T14:15:31.196+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-20T14:15:31.605+0000] {logging_mixin.py:188} INFO - Column close_t_plus_10 has 10 null values (1.00%)
[2026-01-20T14:15:32.075+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-20T14:15:32.333+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-20T14:15:32.503+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-20T14:15:32.691+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-20T14:15:32.910+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-20T14:15:33.170+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-20T14:15:33.410+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-20T14:15:33.571+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-20T14:15:33.761+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-20T14:15:33.932+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
