[2026-01-21T10:16:31.885+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-21T10:16:11.232253+00:00 [queued]>
[2026-01-21T10:16:31.901+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-21T10:16:11.232253+00:00 [queued]>
[2026-01-21T10:16:31.902+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T10:16:31.926+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 10:16:11.232253+00:00
[2026-01-21T10:16:31.932+0000] {standard_task_runner.py:60} INFO - Started process 300 to run task
[2026-01-21T10:16:31.937+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'manual__2026-01-21T10:16:11.232253+00:00', '--job-id', '6', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmp7nu5n9fq']
[2026-01-21T10:16:31.941+0000] {standard_task_runner.py:88} INFO - Job 6: Subtask transform_data
[2026-01-21T10:16:32.006+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data manual__2026-01-21T10:16:11.232253+00:00 [running]> on host d6a8c67c486d
[2026-01-21T10:16:32.107+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T10:16:11.232253+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-21T10:16:11.232253+00:00'
[2026-01-21T10:16:40.904+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:16:41.144+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:16:41.324+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:16:41.529+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:16:41.685+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:16:41.823+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:16:41.970+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:16:42.116+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:16:42.290+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:16:42.429+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:16:42.561+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:16:42.722+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T10:16:43.710+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T10:16:44.089+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:16:44.236+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:16:44.382+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:16:44.526+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:16:44.656+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:16:44.790+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:16:44.951+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:16:45.083+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:16:45.194+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:16:45.312+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:16:45.433+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:16:45.803+0000] {logging_mixin.py:188} INFO - Column close_t_plus_10 has 10 null values (1.00%)
[2026-01-21T10:16:46.326+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:16:46.558+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:16:46.724+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:16:46.894+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:16:47.084+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:16:47.266+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:16:47.541+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:16:47.727+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:16:47.952+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:16:48.110+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:16:48.303+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:16:48.519+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:16:48.746+0000] {logging_mixin.py:188} INFO - Column prev_close has 1 null values (0.10%)
[2026-01-21T10:16:49.026+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:16:49.496+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:16:49.691+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:16:49.883+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:16:50.088+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:16:50.354+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:16:50.539+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:16:50.756+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:16:50.924+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:16:51.113+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:16:51.277+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:16:51.462+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:16:51.633+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:16:51.800+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:16:52.010+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:16:52.312+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:16:52.648+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:16:52.812+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:16:52.984+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:16:53.144+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:16:53.314+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:16:53.497+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
