[2026-01-21T10:30:56.291+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-21T10:30:36.674074+00:00 [queued]>
[2026-01-21T10:30:56.301+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-21T10:30:36.674074+00:00 [queued]>
[2026-01-21T10:30:56.302+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T10:30:56.320+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 10:30:36.674074+00:00
[2026-01-21T10:30:56.325+0000] {standard_task_runner.py:60} INFO - Started process 311 to run task
[2026-01-21T10:30:56.329+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'manual__2026-01-21T10:30:36.674074+00:00', '--job-id', '10', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpl96ux8um']
[2026-01-21T10:30:56.332+0000] {standard_task_runner.py:88} INFO - Job 10: Subtask transform_data
[2026-01-21T10:30:56.382+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data manual__2026-01-21T10:30:36.674074+00:00 [running]> on host d6a8c67c486d
[2026-01-21T10:30:56.472+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T10:30:36.674074+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-21T10:30:36.674074+00:00'
[2026-01-21T10:31:04.855+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:31:05.160+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:31:05.347+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:31:05.551+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:31:05.709+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:31:05.871+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:31:06.056+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:31:06.229+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:31:06.381+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:31:06.552+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:31:06.675+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:31:06.857+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T10:31:07.895+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T10:31:08.252+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:31:08.377+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:31:08.492+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:31:08.614+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:31:08.732+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:31:08.851+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:31:08.977+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
