[2026-01-21T10:47:55.072+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-21T10:47:36.022422+00:00 [queued]>
[2026-01-21T10:47:55.084+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-21T10:47:36.022422+00:00 [queued]>
[2026-01-21T10:47:55.084+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T10:47:55.101+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 10:47:36.022422+00:00
[2026-01-21T10:47:55.106+0000] {standard_task_runner.py:60} INFO - Started process 1597 to run task
[2026-01-21T10:47:55.111+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'manual__2026-01-21T10:47:36.022422+00:00', '--job-id', '14', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmp_s7jazu4']
[2026-01-21T10:47:55.114+0000] {standard_task_runner.py:88} INFO - Job 14: Subtask transform_data
[2026-01-21T10:47:55.172+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data manual__2026-01-21T10:47:36.022422+00:00 [running]> on host d6a8c67c486d
[2026-01-21T10:47:55.279+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T10:47:36.022422+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-21T10:47:36.022422+00:00'
[2026-01-21T10:48:03.457+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:48:03.722+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:48:03.936+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:48:04.121+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:48:04.280+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:48:04.453+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:48:04.630+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:48:04.775+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:48:04.924+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:48:05.061+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:48:05.199+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:48:05.359+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T10:48:06.342+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T10:48:06.723+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:48:06.850+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:48:07.040+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:48:07.186+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:48:07.320+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:48:07.429+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:48:07.571+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:48:07.690+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:48:07.814+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:48:07.928+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:48:08.062+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:48:08.521+0000] {logging_mixin.py:188} INFO - Column close_t_plus_10 has 10 null values (1.00%)
[2026-01-21T10:48:09.020+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:48:09.255+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:48:09.421+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:48:09.553+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:48:09.727+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:48:09.884+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:48:10.118+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:48:10.270+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:48:10.391+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:48:10.527+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:48:10.679+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:48:10.830+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:48:11.049+0000] {logging_mixin.py:188} INFO - Column prev_close has 1 null values (0.10%)
[2026-01-21T10:48:11.271+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:48:11.689+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:48:11.871+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:48:12.033+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:48:12.174+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:48:12.321+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:48:12.486+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:48:12.664+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:48:12.790+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:48:12.912+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:48:13.043+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:48:13.183+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:48:13.305+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:48:13.450+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:48:13.571+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:48:13.799+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:48:14.080+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:48:14.217+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:48:14.340+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:48:14.459+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:48:14.599+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:48:14.729+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:48:14.845+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:48:14.975+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:48:15.083+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:48:15.198+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:48:15.312+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:48:15.421+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:48:15.555+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:48:15.663+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:48:15.801+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:48:15.922+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T10:48:16.159+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:48:16.275+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:48:16.410+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:48:16.536+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:48:16.641+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:48:16.769+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:48:16.896+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:48:17.046+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:48:17.148+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:48:17.251+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:48:17.349+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:48:17.445+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:48:17.556+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:48:17.672+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:48:17.810+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:48:17.958+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T10:48:18.152+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T10:48:18.904+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T10:48:18.919+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T104736, start_date=20260121T104755, end_date=20260121T104818
[2026-01-21T10:48:18.945+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T10:48:18.972+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
