[2026-01-21T11:37:08.631+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-21T11:36:51.964992+00:00 [queued]>
[2026-01-21T11:37:08.641+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data manual__2026-01-21T11:36:51.964992+00:00 [queued]>
[2026-01-21T11:37:08.641+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T11:37:08.659+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 11:36:51.964992+00:00
[2026-01-21T11:37:08.663+0000] {standard_task_runner.py:60} INFO - Started process 3619 to run task
[2026-01-21T11:37:08.668+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'manual__2026-01-21T11:36:51.964992+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmp8m2c8xvm']
[2026-01-21T11:37:08.671+0000] {standard_task_runner.py:88} INFO - Job 21: Subtask transform_data
[2026-01-21T11:37:08.719+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data manual__2026-01-21T11:36:51.964992+00:00 [running]> on host d6a8c67c486d
[2026-01-21T11:37:08.800+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T11:36:51.964992+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-21T11:36:51.964992+00:00'
[2026-01-21T11:37:16.201+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:37:16.454+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:37:16.633+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:37:16.793+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:37:16.970+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:37:17.117+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:37:17.299+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:37:17.431+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:37:17.576+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:37:17.721+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:37:17.854+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:37:18.045+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T11:37:18.926+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T11:37:19.240+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:37:19.389+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:37:19.525+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:37:19.642+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:37:19.764+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:37:19.868+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:37:20.008+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:37:20.118+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:37:20.255+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:37:20.390+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
