[2026-01-21T00:00:16.026+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-20T00:00:00+00:00 [queued]>
[2026-01-21T00:00:16.038+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-20T00:00:00+00:00 [queued]>
[2026-01-21T00:00:16.039+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T00:00:16.060+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-20 00:00:00+00:00
[2026-01-21T00:00:16.067+0000] {standard_task_runner.py:60} INFO - Started process 16466 to run task
[2026-01-21T00:00:16.071+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-20T00:00:00+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmp1rzo2_g4']
[2026-01-21T00:00:16.074+0000] {standard_task_runner.py:88} INFO - Job 8: Subtask transform_data
[2026-01-21T00:00:16.140+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-20T00:00:00+00:00 [running]> on host 1088443c7c2b
[2026-01-21T00:00:16.223+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-20T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-20T00:00:00+00:00'
[2026-01-21T00:00:24.405+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T00:00:24.621+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T00:00:24.774+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T00:00:24.957+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T00:00:25.116+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T00:00:25.262+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T00:00:25.384+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T00:00:25.505+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T00:00:25.627+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T00:00:25.742+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T00:00:25.878+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T00:00:26.001+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T00:00:26.780+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
