[2026-01-21T11:00:16.096+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T10:45:00+00:00 [queued]>
[2026-01-21T11:00:16.105+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T10:45:00+00:00 [queued]>
[2026-01-21T11:00:16.106+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T11:00:16.122+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 10:45:00+00:00
[2026-01-21T11:00:16.127+0000] {standard_task_runner.py:60} INFO - Started process 2249 to run task
[2026-01-21T11:00:16.131+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T10:45:00+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpfn9rc9jh']
[2026-01-21T11:00:16.134+0000] {standard_task_runner.py:88} INFO - Job 16: Subtask transform_data
[2026-01-21T11:00:16.180+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T10:45:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T11:00:16.257+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T10:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T10:45:00+00:00'
[2026-01-21T11:00:23.025+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:00:23.280+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:00:23.486+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:00:23.657+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:00:23.836+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:00:24.010+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:00:24.161+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:00:24.295+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:00:24.447+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:00:24.601+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:00:24.738+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:00:24.926+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T11:00:25.842+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T11:00:26.135+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:00:26.252+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:00:26.360+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:00:26.485+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:00:26.580+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:00:26.690+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:00:26.815+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:00:26.941+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:00:27.082+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:00:27.200+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:00:27.325+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:00:27.685+0000] {logging_mixin.py:188} INFO - Column close_t_plus_10 has 10 null values (1.00%)
[2026-01-21T11:00:28.136+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:00:28.333+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:00:28.483+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:00:28.631+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:00:28.802+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:00:28.978+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:00:29.159+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:00:29.280+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:00:29.446+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:00:29.562+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:00:29.673+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:00:29.795+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:00:29.955+0000] {logging_mixin.py:188} INFO - Column prev_close has 1 null values (0.10%)
[2026-01-21T11:00:30.113+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:00:30.422+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:00:30.589+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:00:30.719+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:00:30.834+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:00:30.980+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:00:31.152+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:00:31.308+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:00:31.431+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:00:31.551+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:00:31.661+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:00:31.782+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:00:31.904+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:00:32.026+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:00:32.140+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:00:32.313+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:00:32.589+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:00:32.714+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:00:32.840+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:00:32.962+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:00:33.074+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:00:33.201+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:00:33.308+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:00:33.426+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:00:33.535+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:00:33.640+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:00:33.732+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:00:33.822+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:00:33.916+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:00:34.019+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:00:34.128+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:00:34.233+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T11:00:34.473+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:00:34.567+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:00:34.657+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:00:34.767+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:00:34.858+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:00:34.963+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:00:35.058+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:00:35.159+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:00:35.250+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:00:35.347+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:00:35.449+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:00:35.547+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:00:35.643+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:00:35.739+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:00:35.829+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:00:35.938+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T11:00:36.104+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T11:00:36.724+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T11:00:36.737+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T104500, start_date=20260121T110016, end_date=20260121T110036
[2026-01-21T11:00:36.788+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T11:00:36.813+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
