[2026-01-21T11:15:14.656+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T11:00:00+00:00 [queued]>
[2026-01-21T11:15:14.667+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T11:00:00+00:00 [queued]>
[2026-01-21T11:15:14.668+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T11:15:14.690+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 11:00:00+00:00
[2026-01-21T11:15:14.696+0000] {standard_task_runner.py:60} INFO - Started process 2919 to run task
[2026-01-21T11:15:14.701+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T11:00:00+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmp3h1fitot']
[2026-01-21T11:15:14.704+0000] {standard_task_runner.py:88} INFO - Job 18: Subtask transform_data
[2026-01-21T11:15:14.750+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T11:00:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T11:15:14.835+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T11:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T11:00:00+00:00'
[2026-01-21T11:15:22.192+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:15:22.451+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:15:22.670+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:15:22.882+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:15:23.092+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:15:23.265+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:15:23.443+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:15:23.570+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:15:23.717+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
