[2026-01-21T11:45:14.577+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T11:30:00+00:00 [queued]>
[2026-01-21T11:45:14.586+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T11:30:00+00:00 [queued]>
[2026-01-21T11:45:14.587+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T11:45:14.602+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 11:30:00+00:00
[2026-01-21T11:45:14.606+0000] {standard_task_runner.py:60} INFO - Started process 4250 to run task
[2026-01-21T11:45:14.611+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T11:30:00+00:00', '--job-id', '23', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpqj48ic46']
[2026-01-21T11:45:14.614+0000] {standard_task_runner.py:88} INFO - Job 23: Subtask transform_data
[2026-01-21T11:45:14.659+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T11:30:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T11:45:14.745+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T11:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T11:30:00+00:00'
[2026-01-21T11:45:21.503+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:45:21.696+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:45:21.836+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:45:21.990+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:45:22.141+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:45:22.290+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:45:22.446+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:45:22.582+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:45:22.714+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:45:22.845+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:45:22.995+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:45:23.167+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T11:45:24.042+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T11:45:24.345+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:45:24.460+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:45:24.582+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:45:24.708+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:45:24.892+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:45:25.044+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:45:25.205+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:45:25.335+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:45:25.460+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:45:25.590+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:45:25.715+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:45:26.144+0000] {logging_mixin.py:188} INFO - Column close_t_plus_10 has 10 null values (1.00%)
[2026-01-21T11:45:26.636+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:45:26.863+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:45:27.011+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:45:27.144+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:45:27.288+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:45:27.424+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:45:27.595+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:45:27.709+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:45:27.830+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:45:27.963+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:45:28.135+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:45:28.270+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:45:28.486+0000] {logging_mixin.py:188} INFO - Column prev_close has 1 null values (0.10%)
[2026-01-21T11:45:28.736+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:45:29.123+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:45:29.312+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:45:29.467+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:45:29.620+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:45:29.815+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
