[2026-01-21T12:00:17.872+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T11:45:00+00:00 [queued]>
[2026-01-21T12:00:17.880+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T11:45:00+00:00 [queued]>
[2026-01-21T12:00:17.881+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T12:00:17.896+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 11:45:00+00:00
[2026-01-21T12:00:17.901+0000] {standard_task_runner.py:60} INFO - Started process 4911 to run task
[2026-01-21T12:00:17.905+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T11:45:00+00:00', '--job-id', '25', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpw93egikh']
[2026-01-21T12:00:17.908+0000] {standard_task_runner.py:88} INFO - Job 25: Subtask transform_data
[2026-01-21T12:00:17.973+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T11:45:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T12:00:18.065+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T11:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T11:45:00+00:00'
[2026-01-21T12:00:25.462+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T12:00:25.692+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T12:00:25.855+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T12:00:26.032+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T12:00:26.175+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T12:00:26.318+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T12:00:26.452+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T12:00:26.582+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T12:00:26.727+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T12:00:26.867+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T12:00:27.000+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T12:00:27.166+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T12:00:27.952+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T12:00:28.270+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T12:00:28.388+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T12:00:28.481+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T12:00:28.596+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T12:00:28.728+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T12:00:28.839+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T12:00:28.948+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T12:00:29.061+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T12:00:29.153+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T12:00:29.244+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T12:00:29.337+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T12:00:29.695+0000] {logging_mixin.py:188} INFO - Column close_t_plus_10 has 10 null values (1.00%)
[2026-01-21T12:00:30.071+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T12:00:30.273+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T12:00:30.410+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T12:00:30.560+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
