[2026-01-21T13:45:19.093+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T13:30:00+00:00 [queued]>
[2026-01-21T13:45:19.105+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T13:30:00+00:00 [queued]>
[2026-01-21T13:45:19.105+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T13:45:19.126+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 13:30:00+00:00
[2026-01-21T13:45:19.131+0000] {standard_task_runner.py:60} INFO - Started process 6291 to run task
[2026-01-21T13:45:19.137+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T13:30:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpjkui8igr']
[2026-01-21T13:45:19.142+0000] {standard_task_runner.py:88} INFO - Job 32: Subtask transform_data
[2026-01-21T13:45:19.192+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T13:30:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T13:45:19.273+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T13:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T13:30:00+00:00'
[2026-01-21T13:45:28.564+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T13:45:28.954+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T13:45:29.185+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T13:45:29.376+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T13:45:29.533+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T13:45:29.802+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T13:45:30.095+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T13:45:30.304+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T13:45:30.485+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T13:45:30.678+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T13:45:30.820+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T13:45:31.048+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T13:45:32.310+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T13:45:32.671+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T13:45:32.836+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T13:45:33.048+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T13:45:33.205+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
