[2026-01-21T14:00:14.887+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T13:45:00+00:00 [queued]>
[2026-01-21T14:00:14.897+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T13:45:00+00:00 [queued]>
[2026-01-21T14:00:14.897+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T14:00:14.913+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 13:45:00+00:00
[2026-01-21T14:00:14.918+0000] {standard_task_runner.py:60} INFO - Started process 6959 to run task
[2026-01-21T14:00:14.922+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T13:45:00+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpga8kficy']
[2026-01-21T14:00:14.925+0000] {standard_task_runner.py:88} INFO - Job 34: Subtask transform_data
[2026-01-21T14:00:14.970+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T13:45:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T14:00:15.068+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T13:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T13:45:00+00:00'
[2026-01-21T14:00:22.300+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T14:00:22.483+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T14:00:22.616+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T14:00:22.759+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T14:00:22.900+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T14:00:23.052+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T14:00:23.189+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T14:00:23.312+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T14:00:23.447+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T14:00:23.568+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T14:00:23.686+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T14:00:23.842+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T14:00:24.680+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T14:00:24.958+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T14:00:25.095+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T14:00:25.209+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T14:00:25.318+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T14:00:25.436+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T14:00:25.541+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T14:00:25.646+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T14:00:25.756+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T14:00:25.859+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T14:00:25.955+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T14:00:26.057+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T14:00:26.368+0000] {logging_mixin.py:188} INFO - Column close_t_plus_10 has 10 null values (1.00%)
[2026-01-21T14:00:26.713+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T14:00:26.927+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T14:00:27.079+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T14:00:27.204+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T14:00:27.364+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T14:00:27.505+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T14:00:27.655+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T14:00:27.763+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T14:00:27.939+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T14:00:28.080+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T14:00:28.198+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T14:00:28.328+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T14:00:28.494+0000] {logging_mixin.py:188} INFO - Column prev_close has 1 null values (0.10%)
[2026-01-21T14:00:28.664+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T14:00:28.983+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T14:00:29.146+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T14:00:29.279+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T14:00:29.405+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T14:00:29.526+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T14:00:29.667+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T14:00:29.825+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T14:00:29.967+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T14:00:30.108+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T14:00:30.221+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T14:00:30.340+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T14:00:30.469+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T14:00:30.654+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T14:00:30.769+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T14:00:30.988+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T14:00:31.239+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T14:00:31.354+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T14:00:31.472+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T14:00:31.595+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T14:00:31.706+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T14:00:31.817+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T14:00:31.940+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T14:00:32.091+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T14:00:32.244+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T14:00:32.394+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T14:00:32.521+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T14:00:32.640+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T14:00:32.754+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T14:00:32.897+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T14:00:33.039+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T14:00:33.148+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T14:00:33.391+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T14:00:33.508+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T14:00:33.640+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T14:00:33.760+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T14:00:33.857+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T14:00:33.982+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T14:00:34.119+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T14:00:34.234+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T14:00:34.343+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T14:00:34.441+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T14:00:34.520+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T14:00:34.613+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T14:00:34.709+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T14:00:34.807+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T14:00:34.909+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T14:00:35.043+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T14:00:35.243+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T14:00:36.132+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T14:00:36.144+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T134500, start_date=20260121T140014, end_date=20260121T140036
[2026-01-21T14:00:36.176+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T14:00:36.196+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
