[2026-01-21T14:30:16.481+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T14:15:00+00:00 [queued]>
[2026-01-21T14:30:16.490+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T14:15:00+00:00 [queued]>
[2026-01-21T14:30:16.491+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T14:30:16.504+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 14:15:00+00:00
[2026-01-21T14:30:16.509+0000] {standard_task_runner.py:60} INFO - Started process 7690 to run task
[2026-01-21T14:30:16.513+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T14:15:00+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmp78twwi1k']
[2026-01-21T14:30:16.516+0000] {standard_task_runner.py:88} INFO - Job 37: Subtask transform_data
[2026-01-21T14:30:16.564+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T14:15:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T14:30:16.645+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T14:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T14:15:00+00:00'
[2026-01-21T14:30:24.115+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T14:30:24.326+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T14:30:24.495+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T14:30:24.655+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T14:30:24.829+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T14:30:24.974+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T14:30:25.137+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T14:30:25.286+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T14:30:25.422+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T14:30:25.563+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T14:30:25.674+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T14:30:25.841+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T14:30:26.709+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T14:30:27.051+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T14:30:27.237+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T14:30:27.347+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T14:30:27.467+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T14:30:27.567+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T14:30:27.662+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T14:30:27.762+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
