[2026-01-21T14:45:16.645+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T14:30:00+00:00 [queued]>
[2026-01-21T14:45:16.655+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T14:30:00+00:00 [queued]>
[2026-01-21T14:45:16.656+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T14:45:16.674+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 14:30:00+00:00
[2026-01-21T14:45:16.679+0000] {standard_task_runner.py:60} INFO - Started process 8350 to run task
[2026-01-21T14:45:16.683+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T14:30:00+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmp6r7re59f']
[2026-01-21T14:45:16.686+0000] {standard_task_runner.py:88} INFO - Job 39: Subtask transform_data
[2026-01-21T14:45:16.731+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T14:30:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T14:45:16.808+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T14:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T14:30:00+00:00'
[2026-01-21T14:45:23.957+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T14:45:24.194+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T14:45:24.344+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T14:45:24.500+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T14:45:24.637+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T14:45:24.770+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T14:45:24.924+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T14:45:25.066+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T14:45:25.185+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
