[2026-01-21T15:00:16.662+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T14:45:00+00:00 [queued]>
[2026-01-21T15:00:16.672+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T14:45:00+00:00 [queued]>
[2026-01-21T15:00:16.673+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T15:00:16.688+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 14:45:00+00:00
[2026-01-21T15:00:16.693+0000] {standard_task_runner.py:60} INFO - Started process 9013 to run task
[2026-01-21T15:00:16.697+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T14:45:00+00:00', '--job-id', '41', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpijyi0i5j']
[2026-01-21T15:00:16.700+0000] {standard_task_runner.py:88} INFO - Job 41: Subtask transform_data
[2026-01-21T15:00:16.745+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T14:45:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T15:00:16.822+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T14:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T14:45:00+00:00'
[2026-01-21T15:00:24.204+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:00:24.467+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:00:24.624+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:00:24.775+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:00:24.937+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:00:25.102+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:00:25.248+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:00:25.395+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:00:25.543+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:00:25.689+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:00:25.805+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:00:25.972+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T15:00:26.900+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T15:00:27.204+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:00:27.327+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:00:27.433+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:00:27.561+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:00:27.672+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:00:27.776+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:00:27.873+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:00:27.982+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:00:28.128+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:00:28.257+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:00:28.352+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:00:28.706+0000] {logging_mixin.py:188} INFO - Column close_t_plus_10 has 10 null values (1.00%)
[2026-01-21T15:00:29.115+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:00:29.317+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:00:29.474+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:00:29.603+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:00:29.756+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:00:29.878+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:00:30.075+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:00:30.202+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:00:30.344+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:00:30.455+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:00:30.600+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:00:30.739+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T15:00:30.897+0000] {logging_mixin.py:188} INFO - Column prev_close has 1 null values (0.10%)
[2026-01-21T15:00:31.087+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T15:00:31.394+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:00:31.544+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:00:31.689+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:00:31.802+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:00:31.940+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:00:32.103+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:00:32.281+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:00:32.419+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:00:32.557+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:00:32.664+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:00:32.775+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:00:32.905+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T15:00:33.052+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T15:00:33.162+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T15:00:33.345+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T15:00:33.564+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:00:33.685+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:00:33.814+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:00:33.932+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:00:34.070+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:00:34.180+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:00:34.332+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:00:34.431+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:00:34.552+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:00:34.646+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:00:34.753+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:00:34.853+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T15:00:34.959+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T15:00:35.068+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T15:00:35.172+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T15:00:35.278+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T15:00:35.492+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:00:35.589+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:00:35.684+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:00:35.806+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:00:35.892+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:00:36.007+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:00:36.112+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:00:36.213+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:00:36.304+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:00:36.406+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:00:36.492+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:00:36.596+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T15:00:36.697+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T15:00:36.790+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T15:00:36.898+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T15:00:37.013+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T15:00:37.189+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T15:00:37.821+0000] {python.py:201} INFO - Done. Returned value was: None
