[2026-01-21T15:15:15.810+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T15:00:00+00:00 [queued]>
[2026-01-21T15:15:15.822+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL.transform_data scheduled__2026-01-21T15:00:00+00:00 [queued]>
[2026-01-21T15:15:15.823+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2026-01-21T15:15:15.842+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): transform_data> on 2026-01-21 15:00:00+00:00
[2026-01-21T15:15:15.848+0000] {standard_task_runner.py:60} INFO - Started process 9678 to run task
[2026-01-21T15:15:15.853+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'transform_data', 'scheduled__2026-01-21T15:00:00+00:00', '--job-id', '43', '--raw', '--subdir', 'DAGS_FOLDER/ETL.py', '--cfg-path', '/tmp/tmpxvhy08e3']
[2026-01-21T15:15:15.856+0000] {standard_task_runner.py:88} INFO - Job 43: Subtask transform_data
[2026-01-21T15:15:15.912+0000] {task_command.py:423} INFO - Running <TaskInstance: ETL.transform_data scheduled__2026-01-21T15:00:00+00:00 [running]> on host d6a8c67c486d
[2026-01-21T15:15:16.038+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T15:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T15:00:00+00:00'
[2026-01-21T15:15:24.552+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:15:24.899+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:15:25.159+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:15:25.337+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:15:25.602+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:15:25.816+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:15:26.090+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:15:26.308+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:15:26.509+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:15:26.731+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:15:26.897+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:15:27.100+0000] {logging_mixin.py:188} INFO - ignore : you dont have any null values
[2026-01-21T15:15:27.936+0000] {logging_mixin.py:188} INFO - you don't have any duplicated values !!
[2026-01-21T15:15:28.309+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:15:28.407+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:15:28.529+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:15:28.650+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:15:28.758+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:15:28.859+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:15:28.962+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:15:29.077+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:15:29.177+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:15:29.283+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:15:29.381+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:15:29.738+0000] {logging_mixin.py:188} INFO - Column close_t_plus_10 has 10 null values (1.00%)
[2026-01-21T15:15:30.236+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:15:30.511+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:15:30.709+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:15:30.849+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:15:31.028+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:15:31.211+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:15:31.396+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:15:31.532+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:15:31.660+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:15:31.785+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:15:31.906+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:15:32.063+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T15:15:32.257+0000] {logging_mixin.py:188} INFO - Column prev_close has 1 null values (0.10%)
[2026-01-21T15:15:32.437+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T15:15:32.835+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:15:33.045+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:15:33.177+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:15:33.311+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:15:33.458+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:15:33.645+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:15:33.822+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:15:34.057+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:15:34.182+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:15:34.306+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:15:34.423+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:15:34.570+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T15:15:34.714+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T15:15:34.874+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T15:15:35.117+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T15:15:35.463+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:15:35.616+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:15:35.753+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:15:35.919+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:15:36.069+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:15:36.212+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:15:36.355+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:15:36.488+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:15:36.597+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:15:36.707+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:15:36.804+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:15:36.914+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T15:15:37.054+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T15:15:37.168+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T15:15:37.278+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T15:15:37.395+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T15:15:37.611+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T15:15:37.713+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T15:15:37.817+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T15:15:37.907+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T15:15:38.017+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T15:15:38.138+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T15:15:38.286+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T15:15:38.406+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T15:15:38.494+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T15:15:38.589+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T15:15:38.675+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T15:15:38.779+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T15:15:38.873+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T15:15:38.965+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T15:15:39.086+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T15:15:39.211+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T15:15:39.404+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T15:15:40.067+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T15:15:40.081+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T150000, start_date=20260121T151515, end_date=20260121T151540
[2026-01-21T15:15:40.128+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T15:15:40.152+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
